"scenario","sample_size","weight_profile","effective_sample_size","method","repetitions","significance_level","rejection_rate"
"null",50,"equal",50,"pearson",20000,0.05,0.05135
"null",50,"equal",50,"spearman",20000,0.05,0.04355
"null",50,"equal",50,"kendall",20000,0.05,0.04975
"null",50,"equal",50,"blomqvist",20000,0.05,0.0923
"null",50,"equal",50,"hoeffding",20000,0.05,0.0581
"null",50,"equal",50,"chatterjee",20000,0.05,0.0493
"null",50,"lognormal",28.5331137315319,"pearson",20000,0.05,0.037
"null",50,"lognormal",28.5331137315319,"spearman",20000,0.05,0.03725
"null",50,"lognormal",28.5331137315319,"kendall",20000,0.05,0.0415
"null",50,"lognormal",28.5331137315319,"blomqvist",20000,0.05,0.06865
"null",50,"lognormal",28.5331137315319,"hoeffding",20000,0.05,0.06605
"null",50,"lognormal",28.5331137315319,"chatterjee",20000,0.05,0.0471
"null",100,"equal",100,"pearson",20000,0.05,0.0484
"null",100,"equal",100,"spearman",20000,0.05,0.0426
"null",100,"equal",100,"kendall",20000,0.05,0.0487
"null",100,"equal",100,"blomqvist",20000,0.05,0.07225
"null",100,"equal",100,"hoeffding",20000,0.05,0.05345
"null",100,"equal",100,"chatterjee",20000,0.05,0.04875
"null",100,"lognormal",55.6183015777355,"pearson",20000,0.05,0.04365
"null",100,"lognormal",55.6183015777355,"spearman",20000,0.05,0.04095
"null",100,"lognormal",55.6183015777355,"kendall",20000,0.05,0.04595
"null",100,"lognormal",55.6183015777355,"blomqvist",20000,0.05,0.06065
"null",100,"lognormal",55.6183015777355,"hoeffding",20000,0.05,0.06005
"null",100,"lognormal",55.6183015777355,"chatterjee",20000,0.05,0.0462
"null",200,"equal",200,"pearson",20000,0.05,0.0504
"null",200,"equal",200,"spearman",20000,0.05,0.0442
"null",200,"equal",200,"kendall",20000,0.05,0.0504
"null",200,"equal",200,"blomqvist",20000,0.05,0.06795
"null",200,"equal",200,"hoeffding",20000,0.05,0.05165
"null",200,"equal",200,"chatterjee",20000,0.05,0.0488
"null",200,"lognormal",109.270517490634,"pearson",20000,0.05,0.0433
"null",200,"lognormal",109.270517490634,"spearman",20000,0.05,0.0393
"null",200,"lognormal",109.270517490634,"kendall",20000,0.05,0.045
"null",200,"lognormal",109.270517490634,"blomqvist",20000,0.05,0.05395
"null",200,"lognormal",109.270517490634,"hoeffding",20000,0.05,0.0521
"null",200,"lognormal",109.270517490634,"chatterjee",20000,0.05,0.04605
"null",500,"equal",500,"pearson",20000,0.05,0.04765
"null",500,"equal",500,"spearman",20000,0.05,0.0419
"null",500,"equal",500,"kendall",20000,0.05,0.0493
"null",500,"equal",500,"blomqvist",20000,0.05,0.061
"null",500,"equal",500,"hoeffding",20000,0.05,0.051
"null",500,"equal",500,"chatterjee",20000,0.05,0.05075
"null",500,"lognormal",269.063481550345,"pearson",20000,0.05,0.0488
"null",500,"lognormal",269.063481550345,"spearman",20000,0.05,0.0417
"null",500,"lognormal",269.063481550345,"kendall",20000,0.05,0.04835
"null",500,"lognormal",269.063481550345,"blomqvist",20000,0.05,0.0505
"null",500,"lognormal",269.063481550345,"hoeffding",20000,0.05,0.05295
"null",500,"lognormal",269.063481550345,"chatterjee",20000,0.05,0.05025
"linear",50,"equal",50,"pearson",10000,0.05,0.4331
"linear",50,"equal",50,"spearman",10000,0.05,0.3711
"linear",50,"equal",50,"kendall",10000,0.05,0.3874
"linear",50,"equal",50,"blomqvist",10000,0.05,0.2924
"linear",50,"equal",50,"hoeffding",10000,0.05,0.3587
"linear",50,"equal",50,"chatterjee",10000,0.05,0.1044
"linear",50,"lognormal",28.5331137315319,"pearson",10000,0.05,0.2497
"linear",50,"lognormal",28.5331137315319,"spearman",10000,0.05,0.2239
"linear",50,"lognormal",28.5331137315319,"kendall",10000,0.05,0.2327
"linear",50,"lognormal",28.5331137315319,"blomqvist",10000,0.05,0.1716
"linear",50,"lognormal",28.5331137315319,"hoeffding",10000,0.05,0.2632
"linear",50,"lognormal",28.5331137315319,"chatterjee",10000,0.05,0.083
"linear",100,"equal",100,"pearson",10000,0.05,0.7175
"linear",100,"equal",100,"spearman",10000,0.05,0.6446
"linear",100,"equal",100,"kendall",10000,0.05,0.6657
"linear",100,"equal",100,"blomqvist",10000,0.05,0.4157
"linear",100,"equal",100,"hoeffding",10000,0.05,0.6124
"linear",100,"equal",100,"chatterjee",10000,0.05,0.1461
"linear",100,"lognormal",55.6183015777355,"pearson",10000,0.05,0.4608
"linear",100,"lognormal",55.6183015777355,"spearman",10000,0.05,0.4026
"linear",100,"lognormal",55.6183015777355,"kendall",10000,0.05,0.4193
"linear",100,"lognormal",55.6183015777355,"blomqvist",10000,0.05,0.238
"linear",100,"lognormal",55.6183015777355,"hoeffding",10000,0.05,0.399
"linear",100,"lognormal",55.6183015777355,"chatterjee",10000,0.05,0.1052
"linear",200,"equal",200,"pearson",10000,0.05,0.9498
"linear",200,"equal",200,"spearman",10000,0.05,0.9193
"linear",200,"equal",200,"kendall",10000,0.05,0.9271
"linear",200,"equal",200,"blomqvist",10000,0.05,0.6677
"linear",200,"equal",200,"hoeffding",10000,0.05,0.8968
"linear",200,"equal",200,"chatterjee",10000,0.05,0.1936
"linear",200,"lognormal",109.270517490634,"pearson",10000,0.05,0.7551
"linear",200,"lognormal",109.270517490634,"spearman",10000,0.05,0.6909
"linear",200,"lognormal",109.270517490634,"kendall",10000,0.05,0.7115
"linear",200,"lognormal",109.270517490634,"blomqvist",10000,0.05,0.3974
"linear",200,"lognormal",109.270517490634,"hoeffding",10000,0.05,0.6473
"linear",200,"lognormal",109.270517490634,"chatterjee",10000,0.05,0.1424
"linear",500,"equal",500,"pearson",10000,0.05,0.9998
"linear",500,"equal",500,"spearman",10000,0.05,0.9997
"linear",500,"equal",500,"kendall",10000,0.05,0.9997
"linear",500,"equal",500,"blomqvist",10000,0.05,0.9572
"linear",500,"equal",500,"hoeffding",10000,0.05,0.999
"linear",500,"equal",500,"chatterjee",10000,0.05,0.348
"linear",500,"lognormal",269.063481550345,"pearson",10000,0.05,0.9887
"linear",500,"lognormal",269.063481550345,"spearman",10000,0.05,0.9762
"linear",500,"lognormal",269.063481550345,"kendall",10000,0.05,0.9795
